book_name,name,llm_classification,total_adjectives,top_adjectives,adjectives
The_Monk,madeleine,1,5,"afraid:1, dear:1, right:1, faithful:1, silent:1","{'afraid': 1, 'dear': 1, 'right': 1, 'faithful': 1, 'silent': 1}"
The_Monk,menin,2,1,unlucky:1,{'unlucky': 1}
The_Monk,sylvestre lampron,2,1,ordinary:1,{'ordinary': 1}
Daisy_Miller,daisy,1,7,"guilty:1, pale:1, shocked:1, embarrassed:1, pretty:1","{'guilty': 1, 'pale': 1, 'shocked': 1, 'embarrassed': 1, 'pretty': 1, 'lovely': 1, 'ill': 1}"
Daisy_Miller,daisy miller,1,2,"innocent:1, excited:1","{'innocent': 1, 'excited': 1}"
Daisy_Miller,eugenio,2,2,"afraid:1, privileged:1","{'afraid': 1, 'privileged': 1}"
Daisy_Miller,frederick,2,2,dear:2,{'dear': 2}
Daisy_Miller,pincio,2,1,distant:1,{'distant': 1}
Daisy_Miller,randolph,2,2,"sure:1, indifferent:1","{'sure': 1, 'indifferent': 1}"
Daisy_Miller,randolph miller,2,1,little:1,{'little': 1}
Daisy_Miller,roman,2,4,"brilliant:1, little:1, native:1, subtle:1","{'brilliant': 1, 'little': 1, 'native': 1, 'subtle': 1}"
Mary_A_Fiction,ann,1,12,"asleep:2, ill:2, intimate:1, cold:1, delighted:1","{'intimate': 1, 'asleep': 2, 'cold': 1, 'delighted': 1, 'subject': 1, 'ill': 2, 'displeased': 1, 'silent': 1, 'poor': 1, 'loved': 1}"
Mary_A_Fiction,clarissa,1,1,vain:1,{'vain': 1}
Mary_A_Fiction,henry,2,11,"worse:3, ill:1, spirited:1, afraid:1, present:1","{'ill': 1, 'spirited': 1, 'afraid': 1, 'present': 1, 'last': 1, 'worse': 3, 'nearer': 1, 'suffocated': 1, 'certain': 1}"
Mary_A_Fiction,mary,1,16,"able:2, fond:1, older:1, proficient:1, large:1","{'fond': 1, 'older': 1, 'proficient': 1, 'large': 1, 'attentive': 1, 'interested': 1, 'tranquil': 1, 'stunned': 1, 'unable': 1, 'useful': 1, 'delirious': 1, 'able': 2, 'weak': 1, 'low': 1, 'own': 1}"
The_House_of_Mirth,anderen,2,3,"vielen:1, armer:1, unzähligen:1","{'vielen': 1, 'armer': 1, 'unzähligen': 1}"
The_House_of_Mirth,anders,2,1,vorher:1,{'vorher': 1}
The_House_of_Mirth,armen,2,1,diese:1,{'diese': 1}
The_House_of_Mirth,dann,2,3,"ist:1, entsteht:1, amortisiren:1","{'ist': 1, 'entsteht': 1, 'amortisiren': 1}"
The_House_of_Mirth,darf,2,1,diese:1,{'diese': 1}
The_House_of_Mirth,eine,1,20,"ist:6, sich:2, tritt:1, nämlich:1, natürlich:1","{'ist': 6, 'tritt': 1, 'nämlich': 1, 'natürlich': 1, 'wer': 1, 'sondern': 1, 'sich': 2, 'arbeitern': 1, 'dafür': 1, 'der': 1, 'culturvölkern': 1, 'mir': 1, 'gründete': 1, 'lese': 1}"
The_House_of_Mirth,einen,2,1,veraltete:1,{'veraltete': 1}
The_House_of_Mirth,finden,2,1,diese:1,{'diese': 1}
The_House_of_Mirth,flegel,2,1,dem:1,{'dem': 1}
The_House_of_Mirth,freilich,1,1,wobei:1,{'wobei': 1}
The_House_of_Mirth,jene,1,1,und:1,{'und': 1}
The_House_of_Mirth,jener,2,1,und:1,{'und': 1}
The_House_of_Mirth,kann,2,2,"diese:1, beantworten:1","{'diese': 1, 'beantworten': 1}"
The_House_of_Mirth,machen,2,3,"bauern:1, dafür:1, und:1","{'bauern': 1, 'dafür': 1, 'und': 1}"
The_House_of_Mirth,mehr,2,1,romantischen:1,{'romantischen': 1}
The_House_of_Mirth,melodie,1,1,wir:1,{'wir': 1}
The_House_of_Mirth,mir,2,1,beweist:1,{'beweist': 1}
The_House_of_Mirth,niemand,2,1,der:1,{'der': 1}
The_House_of_Mirth,nur,1,3,"auch:1, unverstanden:1, sondern:1","{'auch': 1, 'unverstanden': 1, 'sondern': 1}"
The_House_of_Mirth,orten,2,1,vielen:1,{'vielen': 1}
The_House_of_Mirth,sache,1,1,allgemeine:1,{'allgemeine': 1}
The_House_of_Mirth,sogar,2,1,behaupten:1,{'behaupten': 1}
The_House_of_Mirth,soll,2,2,"cultivirenden:1, judenstaate:1","{'cultivirenden': 1, 'judenstaate': 1}"
The_House_of_Mirth,sollen,2,1,diese:1,{'diese': 1}
The_House_of_Mirth,wird,2,16,"jewish:2, versuchen:1, unerträglicher:1, verstehen:1, vorgehen:1","{'versuchen': 1, 'unerträglicher': 1, 'verstehen': 1, 'vorgehen': 1, 'welt': 1, 'jewish': 2, 'besten': 1, 'erhalten': 1, 'passende': 1, 'hier': 1, 'der': 1, 'anbieten': 1, 'erzeugt': 1, 'gross': 1, 'fallen': 1}"
The_House_of_Mirth,zwar,2,1,verliert:1,{'verliert': 1}
Agnes_Grey,alonso pinzon,2,2,"ashamed:1, sick:1","{'ashamed': 1, 'sick': 1}"
Agnes_Grey,bartholomew,2,1,bad:1,{'bad': 1}
Agnes_Grey,christopher,2,2,"strong:1, little:1","{'strong': 1, 'little': 1}"
Agnes_Grey,diego,2,3,"little:1, ill:1, blind:1","{'little': 1, 'ill': 1, 'blind': 1}"
Agnes_Grey,friday,1,1,twelfth:1,{'twelfth': 1}
Agnes_Grey,isabella,1,3,"excited:1, quick:1, angry:1","{'excited': 1, 'quick': 1, 'angry': 1}"
Agnes_Grey,john,2,2,"angry:1, same:1","{'angry': 1, 'same': 1}"
Agnes_Grey,juan perez,2,3,"good:1, anxious:1, thankful:1","{'good': 1, 'anxious': 1, 'thankful': 1}"
Agnes_Grey,king ferdinand,2,2,"sorry:1, stubborn:1","{'sorry': 1, 'stubborn': 1}"
Agnes_Grey,maria,1,5,"largest:2, long:1, wide:1, unlucky:1","{'largest': 2, 'long': 1, 'wide': 1, 'unlucky': 1}"
Agnes_Grey,nina,1,3,"little:2, large:1","{'little': 2, 'large': 1}"
Agnes_Grey,pedro,2,1,little:1,{'little': 1}
Agnes_Grey,perestrelo,2,1,acquainted:1,{'acquainted': 1}
Agnes_Grey,roldan,2,1,rebel:1,{'rebel': 1}
Ethan_Frome,dimitri,2,1,ready:1,{'ready': 1}
Ethan_Frome,gasha,1,1,maidservant:1,{'maidservant': 1}
Ethan_Frome,grandmamma,1,3,"grave:1, ill:1, dead:1","{'grave': 1, 'ill': 1, 'dead': 1}"
Ethan_Frome,jerome,2,2,"latter:1, satisfied:1","{'latter': 1, 'satisfied': 1}"
Ethan_Frome,johann,2,2,ant:2,{'ant': 2}
Ethan_Frome,karl,2,3,"ant:2, angry:1","{'ant': 2, 'angry': 1}"
Ethan_Frome,karl ivanitch,2,2,"poor:1, true:1","{'poor': 1, 'true': 1}"
Ethan_Frome,katenka,1,6,"graceful:1, charming:1, younger:1, simple:1, natural:1","{'graceful': 1, 'charming': 1, 'younger': 1, 'simple': 1, 'natural': 1, 'sighted': 1}"
Ethan_Frome,lubotshka,1,3,"exciting:1, tall:1, beloved:1","{'exciting': 1, 'tall': 1, 'beloved': 1}"
Ethan_Frome,marry,1,1,nervous:1,{'nervous': 1}
Ethan_Frome,masha,1,1,poor:1,{'poor': 1}
Ethan_Frome,mimi,1,2,"cross:1, displeased:1","{'cross': 1, 'displeased': 1}"
Ethan_Frome,my karl,2,1,alive:1,{'alive': 1}
Ethan_Frome,napoleon,2,1,open:1,{'open': 1}
Ethan_Frome,nechludoff,2,3,"annoyed:1, offended:1, silent:1","{'annoyed': 1, 'offended': 1, 'silent': 1}"
Ethan_Frome,nicola,2,1,unruly:1,{'unruly': 1}
Ethan_Frome,nicolinka,1,1,angry:1,{'angry': 1}
Ethan_Frome,philip,2,1,satisfied:1,{'satisfied': 1}
Ethan_Frome,vas,2,1,serviceable:1,{'serviceable': 1}
Ethan_Frome,vassili,2,4,"servant:1, zealous:1, ready:1, busy:1","{'servant': 1, 'zealous': 1, 'ready': 1, 'busy': 1}"
Ethan_Frome,woloda,2,7,"aware:1, proud:1, bold:1, about:1, round:1","{'aware': 1, 'proud': 1, 'bold': 1, 'about': 1, 'round': 1, 'ashamed': 1, 'ready': 1}"
Ethan_Frome,zat,2,1,much:1,{'much': 1}
Ethan_Frome,zomerblat,1,1,deat:1,{'deat': 1}
The_Time_Machine,he,2,6,"damned:2, less:2, able:1, right:1","{'able': 1, 'damned': 2, 'right': 1, 'less': 2}"
The_Time_Machine,weena,1,8,"little:5, good:1, delighted:1, tired:1","{'little': 5, 'good': 1, 'delighted': 1, 'tired': 1}"
Heart_of_Darkness,charlie,2,1,dear:1,{'dear': 1}
Heart_of_Darkness,henry,2,1,loaded:1,{'loaded': 1}
Heart_of_Darkness,kurtz,2,10,"gifted:2, original:2, dead:1, good:1, poor:1","{'dead': 1, 'gifted': 2, 'original': 2, 'good': 1, 'poor': 1, 'mad': 1, 'afraid': 1, 'ill': 1}"
Heart_of_Darkness,marlow,2,2,"typical:1, civil:1","{'typical': 1, 'civil': 1}"
Charlotte_Temple,argus,2,1,watchful:1,{'watchful': 1}
Charlotte_Temple,chance,2,1,poor:1,{'poor': 1}
Charlotte_Temple,charlotte,1,53,"poor:12, dear:6, unhappy:4, asleep:2, wretched:2","{'unhappy': 4, 'poor': 12, 'favourite': 1, 'angry': 1, 'unsuspecting': 1, 'fond': 1, 'dear': 6, 'unable': 1, 'busy': 1, 'more': 1, 'dead': 1, 'inexperienced': 1, 'unfortunate': 1, 'guilty': 1, 'melancholy': 1, 'surprised': 1, 'long': 1, 'ungrateful': 1, 'agitated': 1, 'lost': 1, 'false': 1, 'asleep': 2, 'lovely': 1, 'richer': 1, 'distressed': 1, 'wretched': 2, 'certain': 1, 'sensible': 1, 'conscious': 2, 'insensible': 1, 'possible': 1}"
Charlotte_Temple,charlotte temple,1,3,"lovely:2, happy:1","{'lovely': 2, 'happy': 1}"
Charlotte_Temple,corydon,2,1,dear:1,{'dear': 1}
Charlotte_Temple,crayton,2,3,"fortunate:1, short:1, inflexible:1","{'fortunate': 1, 'short': 1, 'inflexible': 1}"
Charlotte_Temple,eldridge,2,1,free:1,{'free': 1}
Charlotte_Temple,franklin,2,1,acquainted:1,{'acquainted': 1}
Charlotte_Temple,george,2,1,poor:1,{'poor': 1}
Charlotte_Temple,hope,1,14,"new:2, chief:1, least:1, only:1, delightful:1","{'chief': 1, 'least': 1, 'only': 1, 'delightful': 1, 'calm': 1, 'fond': 1, 'new': 2, 'dear': 1, 'valuable': 1, 'unnoticed': 1, 'miserable': 1, 'faint': 1, 'more': 1}"
Charlotte_Temple,john,2,1,honest:1,{'honest': 1}
Charlotte_Temple,julia,1,8,"lovely:3, fascinating:1, tall:1, embarrassed:1, amiable:1","{'fascinating': 1, 'tall': 1, 'lovely': 3, 'embarrassed': 1, 'amiable': 1, 'married': 1}"
Charlotte_Temple,lucy,1,6,"dear:2, poor:1, beloved:1, grateful:1, little:1","{'poor': 1, 'beloved': 1, 'grateful': 1, 'dear': 2, 'little': 1}"
Charlotte_Temple,nay,1,2,"interesting:1, charming:1","{'interesting': 1, 'charming': 1}"
Charlotte_Temple,prudence,1,1,strict:1,{'strict': 1}
Charlotte_Temple,ray,2,1,mild:1,{'mild': 1}
Charlotte_Temple,rue,1,9,"dear:1, silent:1, kind:1, weary:1, handsome:1","{'dear': 1, 'silent': 1, 'kind': 1, 'weary': 1, 'handsome': 1, 'successful': 1, 'shocked': 1, 'vile': 1, 'beheld': 1}"
The_Magician_s_Nephew,aslan,2,3,"bigger:1, beautiful:1, busy:1","{'bigger': 1, 'beautiful': 1, 'busy': 1}"
The_Magician_s_Nephew,brandy,1,2,"poor:1, old:1","{'poor': 1, 'old': 1}"
The_Magician_s_Nephew,digory,2,13,"second:2, speechless:1, alone:1, sudden:1, interested:1","{'speechless': 1, 'alone': 1, 'sudden': 1, 'second': 2, 'interested': 1, 'beautiful': 1, 'red': 1, 'quick': 1, 'miserable': 1, 'afraid': 1, 'sure': 1, 'aged': 1}"
The_Magician_s_Nephew,he,2,57,"sure:5, mad:4, interested:3, right:3, able:3","{'mad': 4, 'exciting': 2, 'interested': 3, 'dripping': 1, 'wild': 2, 'sorry': 1, 'right': 3, 'vain': 2, 'speechless': 1, 'quiet': 2, 'practical': 2, 'old': 2, 'white': 2, 'likely': 2, 'afraid': 1, 'younger': 2, 'nicer': 2, 'uncomfortable': 2, 'own': 2, 'sure': 5, 'able': 3, 'alone': 2, 'heartless': 1, 'sad': 2, 'alive': 2, 'frightened': 2, 'excited': 2}"
The_Magician_s_Nephew,jadis,1,4,"different:2, loud:1, impatient:1","{'different': 2, 'loud': 1, 'impatient': 1}"
The_Magician_s_Nephew,lefay,1,2,old:2,{'old': 2}
The_Magician_s_Nephew,letty,1,4,"dear:1, good:1, heavier:1, poor:1","{'dear': 1, 'good': 1, 'heavier': 1, 'poor': 1}"
The_Magician_s_Nephew,mabel,1,3,"poor:1, dear:1, little:1","{'poor': 1, 'dear': 1, 'little': 1}"
The_Magician_s_Nephew,polly,1,8,"frightened:2, surprised:1, younger:1, sure:1, certain:1","{'surprised': 1, 'younger': 1, 'frightened': 2, 'sure': 1, 'certain': 1, 'much': 1, 'able': 1}"
The_Magician_s_Nephew,uncle andrew,2,11,"tall:2, thin:1, alarming:1, quick:1, beautiful:1","{'tall': 2, 'thin': 1, 'alarming': 1, 'quick': 1, 'beautiful': 1, 'more': 1, 'shaky': 1, 'harder': 1, 'taller': 1, 'awake': 1}"
The_Country_of_the_Pointed_Firs,almiry,1,2,"young:1, little:1","{'young': 1, 'little': 1}"
The_Country_of_the_Pointed_Firs,elijah,2,2,"poor:1, old:1","{'poor': 1, 'old': 1}"
The_Country_of_the_Pointed_Firs,gilbraith,2,1,old:1,{'old': 1}
The_Country_of_the_Pointed_Firs,gilbreath,2,1,old:1,{'old': 1}
The_Country_of_the_Pointed_Firs,joanna,1,14,"poor:7, young:1, forgotten:1, better:1, same:1","{'poor': 7, 'young': 1, 'forgotten': 1, 'better': 1, 'same': 1, 'able': 1, 'glad': 1, 'sure': 1}"
The_Country_of_the_Pointed_Firs,june,1,1,early:1,{'early': 1}
The_Country_of_the_Pointed_Firs,landin,2,2,"easy:1, good:1","{'easy': 1, 'good': 1}"
The_Country_of_the_Pointed_Firs,lilac,1,1,genuine:1,{'genuine': 1}
The_Country_of_the_Pointed_Firs,little louisa,1,1,little:1,{'little': 1}
The_Country_of_the_Pointed_Firs,louisa,1,1,pretty:1,{'pretty': 1}
The_Country_of_the_Pointed_Firs,mary,1,1,sweet:1,{'sweet': 1}
The_Country_of_the_Pointed_Firs,minerva,1,2,"old:1, leaky:1","{'old': 1, 'leaky': 1}"
The_Country_of_the_Pointed_Firs,miranda,1,1,old:1,{'old': 1}
The_Country_of_the_Pointed_Firs,nathan,2,1,poor:1,{'poor': 1}
The_Country_of_the_Pointed_Firs,todd,2,17,"large:3, proper:1, stout:1, last:1, amiable:1","{'proper': 1, 'large': 3, 'stout': 1, 'last': 1, 'amiable': 1, 'poor': 1, 'embarrassed': 1, 'alert': 1, 'cloudy': 1, 'hospitable': 1, 'limited': 1, 'domestic': 1, 'likely': 1, 'able': 1, 'hearted': 1}"
The_Country_of_the_Pointed_Firs,whalin,2,2,"old:1, dull:1","{'old': 1, 'dull': 1}"
The_Country_of_the_Pointed_Firs,william,2,5,"occupied:1, able:1, settin:1, poor:1, dear:1","{'occupied': 1, 'able': 1, 'settin': 1, 'poor': 1, 'dear': 1}"
Turn_of_the_Screw,flora,1,10,"little:4, ill:2, dear:1, sweet:1, most:1","{'little': 4, 'dear': 1, 'sweet': 1, 'most': 1, 'feverish': 1, 'ill': 2}"
Turn_of_the_Screw,miles,2,13,"little:10, dear:2, poor:1","{'little': 10, 'poor': 1, 'dear': 2}"
Turn_of_the_Screw,quint,2,7,"menial:2, alone:1, dead:1, free:1, clever:1","{'alone': 1, 'dead': 1, 'free': 1, 'clever': 1, 'deep': 1, 'menial': 2}"
Villette,alice,1,1,strong:1,{'strong': 1}
Villette,altgelt,2,2,more:2,{'more': 2}
Villette,antoine,2,1,same:1,{'same': 1}
Villette,blaise,2,2,"careful:1, determined:1","{'careful': 1, 'determined': 1}"
Villette,charles dibdin,2,1,late:1,{'late': 1}
Villette,charlotta,1,5,"young:1, gay:1, poor:1, depressed:1, sad:1","{'young': 1, 'gay': 1, 'poor': 1, 'depressed': 1, 'sad': 1}"
Villette,delirium,1,1,faint:1,{'faint': 1}
Villette,eunice,1,2,"happier:1, quiet:1","{'happier': 1, 'quiet': 1}"
Villette,ever,1,1,soft:1,{'soft': 1}
Villette,gervase,2,1,last:1,{'last': 1}
Villette,heinrich,2,1,capable:1,{'capable': 1}
Villette,jules,2,1,lame:1,{'lame': 1}
Villette,june,1,1,next:1,{'next': 1}
Villette,lotta,1,3,"unwilling:1, cruel:1, conscious:1","{'unwilling': 1, 'cruel': 1, 'conscious': 1}"
Villette,martin,2,3,"poor:1, old:1, willed:1","{'poor': 1, 'old': 1, 'willed': 1}"
Villette,minna,1,1,rich:1,{'rich': 1}
Villette,ned,2,1,eyed:1,{'eyed': 1}
Villette,pat,2,1,other:1,{'other': 1}
Villette,tony,2,2,"old:1, plain:1","{'old': 1, 'plain': 1}"
The_Invisible_Man,adye,1,3,"dead:1, white:1, grim:1","{'dead': 1, 'white': 1, 'grim': 1}"
The_Invisible_Man,april,1,2,"late:1, early:1","{'late': 1, 'early': 1}"
The_Invisible_Man,fletcher,2,2,"visible:1, old:1","{'visible': 1, 'old': 1}"
The_Invisible_Man,he,2,121,"aware:9, afraid:5, mad:5, alone:4, black:4","{'afraid': 5, 'bad': 1, 'sensitive': 2, 'audible': 2, 'alone': 4, 'suspicious': 2, 'odd': 2, 'black': 4, 'ashamed': 2, 'overbearing': 2, 'averse': 2, 'surprised': 4, 'open': 4, 'wise': 2, 'grave': 2, 'certain': 2, 'amazed': 2, 'quiet': 2, 'aware': 9, 'mad': 5, 'visible': 4, 'artful': 2, 'hard': 2, 'thirsty': 1, 'observant': 1, 'active': 3, 'feverish': 2, 'exhausted': 2, 'invisible': 4, 'excited': 2, 'free': 2, 'delighted': 2, 'transparent': 2, 'silent': 4, 'sure': 2, 'liable': 2, 'dead': 2, 'doubtful': 2, 'satisfied': 2, 'scared': 2, 'able': 1, 'about': 2, 'furious': 2, 'ready': 1, 'powerful': 1, 'meditative': 2, 'close': 2, 'upright': 2, 'square': 2, 'damned': 1}"
The_Invisible_Man,huxter,2,3,"invisible:1, deserted:1, unable:1","{'invisible': 1, 'deserted': 1, 'unable': 1}"
The_Invisible_Man,thur,2,1,right:1,{'right': 1}
Veronika_decides_to_die,adam,2,1,bored:1,{'bored': 1}
Veronika_decides_to_die,eduard,2,18,"capable:2, agitated:2, sleepy:2, schizophrenic:1, troubled:1","{'schizophrenic': 1, 'capable': 2, 'troubled': 1, 'sick': 1, 'determined': 1, 'able': 1, 'agitated': 2, 'excited': 1, 'sleepy': 2, 'homosexual': 1, 'hungry': 1, 'impressed': 1, 'silent': 1, 'drunk': 1, 'second': 1}"
Veronika_decides_to_die,igor,2,9,"worried:2, ready:1, happy:1, silent:1, romantic:1","{'ready': 1, 'worried': 2, 'happy': 1, 'silent': 1, 'romantic': 1, 'surprised': 1, 'tired': 1, 'excited': 1}"
Veronika_decides_to_die,mari,1,15,"right:2, certain:2, tired:1, glad:1, sure:1","{'right': 2, 'tired': 1, 'glad': 1, 'sure': 1, 'certain': 2, 'determined': 1, 'ill': 1, 'busy': 1, 'free': 1, 'uneasy': 1, 'remote': 1, 'same': 1, 'insane': 1}"
Veronika_decides_to_die,nasrudin,2,1,sober:1,{'sober': 1}
Veronika_decides_to_die,veronika,1,19,"happy:2, sure:2, afraid:2, interested:1, aware:1","{'interested': 1, 'aware': 1, 'certain': 1, 'glad': 1, 'happy': 2, 'unable': 1, 'sorry': 1, 'unhappy': 1, 'other': 1, 'sure': 2, 'able': 1, 'afraid': 2, 'horrified': 1, 'about': 1, 'hasty': 1, 'tired': 1}"
Veronika_decides_to_die,veronikas,1,2,other:2,{'other': 2}
Veronika_decides_to_die,villete,1,6,"bad:1, crazier:1, liberal:1, different:1, crazy:1","{'bad': 1, 'crazier': 1, 'liberal': 1, 'different': 1, 'crazy': 1, 'incapable': 1}"
Veronika_decides_to_die,zedka,1,8,"serious:1, crazier:1, welcome:1, sound:1, asleep:1","{'serious': 1, 'crazier': 1, 'welcome': 1, 'sound': 1, 'asleep': 1, 'ex': 1, '-': 1, 'depressive': 1}"
Herland,alima,1,1,alluring:1,{'alluring': 1}
Herland,alma,1,2,"black:1, white:1","{'black': 1, 'white': 1}"
Herland,ellador,1,6,"brown:1, reasonable:1, perceptive:1, pale:1, own:1","{'brown': 1, 'reasonable': 1, 'perceptive': 1, 'pale': 1, 'own': 1, 'more': 1}"
Herland,galahad,2,1,such:1,{'such': 1}
Herland,jeff,2,26,"impressed:2, bad:2, pleased:2, sure:1, cheerful:1","{'sure': 1, 'impressed': 2, 'cheerful': 1, 'appreciative': 1, 'eager': 1, 'franker': 1, 'malicious': 1, 'mischievous': 1, 'bad': 2, 'amazed': 1, 'outraged': 1, 'pleased': 2, 'less': 1, 'inclined': 1, 'peaceful': 1, 'happy': 1, 'certain': 1, 'old': 1, 'herlandized': 1, 'fair': 1, 'right': 1, 'clear': 1, 'satisfied': 1}"
Herland,moadine,1,5,"calm:1, friendly:1, nervous:1, close:1, patient:1","{'calm': 1, 'friendly': 1, 'nervous': 1, 'close': 1, 'patient': 1}"
Herland,sextus,2,1,false:1,{'false': 1}
Herland,terry,2,35,"strong:2, interested:2, irritable:2, full:2, old:2","{'rich': 1, 'strong': 2, 'close': 1, 'interested': 2, 'silent': 1, 'armed': 1, 'moody': 1, 'strongest': 1, 'irritable': 2, 'resourceful': 1, 'full': 2, 'disgusted': 1, 'ashamed': 1, 'uncomfortable': 1, 'contemptuous': 1, 'pleased': 1, 'critical': 1, 'last': 1, 'fussy': 1, 'irresistible': 1, 'furious': 1, 'wiser': 1, 'old': 2, 'free': 1, 'restive': 1, 'different': 1, 'inconsiderate': 1, 'poor': 2, 'driven': 1}"
The_Yellow_Wallpaper,abigail,1,4,"fond:1, ready:1, prepared:1, busy:1","{'fond': 1, 'ready': 1, 'prepared': 1, 'busy': 1}"
The_Yellow_Wallpaper,ames,2,1,awake:1,{'awake': 1}
The_Yellow_Wallpaper,bailey,1,3,young:3,{'young': 3}
The_Yellow_Wallpaper,ben,2,1,about:1,{'about': 1}
The_Yellow_Wallpaper,bill,2,3,"immense:1, little:1, exorbitant:1","{'immense': 1, 'little': 1, 'exorbitant': 1}"
The_Yellow_Wallpaper,byron,2,1,late:1,{'late': 1}
